uniquename	name	genus	species
FBte0001020	Dmoj\copia	Drosophila	mojavensis
FBte0001086	Dpar\Bari1	Drosophila	paranaensis
FBte0000511	Dmad\412	Drosophila	madeirensis
FBte0000079	Dafs\bilbo	Drosophila	affinis
FBte0000861	Dalg\gypsy	Drosophila	algonquin
FBte0001066	Stalker	Drosophila	melanogaster
FBte0001087	Dfic\mariner	Drosophila	ficusphila
FBte0001088	Zind\mariner	Zaprionus	indianus
FBte0000657	G-element	Drosophila	melanogaster
FBte0001089	Dstu\P-element	Drosophila	sturtevanti
FBte0000854	Dnar\gypsy	Drosophila	narragansett
FBte0000049	Dtak\bilbo	Drosophila	takahashii
FBte0000531	Dobs\412	Drosophila	obscura
FBte0001091	Dssa\Bari1	Drosophila	subsaltans
FBte0001070	Dpas\R1-element	Drosophila	palustris
FBte0001092	jockey2	Drosophila	melanogaster
FBte0001093	Spal\P-element	Scaptomyza	pallida
FBte0000757	Drob\R2-element	Drosophila	robusta
FBte0000500	Dsec\412	Drosophila	sechellia
FBte0001094	Dyak\Doc	Drosophila	yakuba
FBte0000010	mdg3	Drosophila	melanogaster
FBte0000069	Ddim\bilbo	Drosophila	dimorpha
FBte0001097	ninja-Dsim-like	Drosophila	melanogaster
FBte0000850	Dtak\gypsy	Drosophila	takahashii
FBte0001098	Bari1-Ddip-like	Drosophila	melanogaster
FBte0001056	Dcap\1731	Drosophila	capricorni
FBte0000312	INE-1	Drosophila	melanogaster
FBte0001102	Dnik\P-element	Drosophila	nikananu
FBte0000397	Dbif\F-element	Drosophila	bifasciata
FBte0000143	HeT-A	Drosophila	melanogaster
FBte0000493	Dvul\412	Drosophila	vulcana
FBte0000120	Dyak\aurora-element	Drosophila	yakuba
FBte0001103	Dmad\812	Drosophila	madeirensis
FBte0001104	Dsal\P-element	Drosophila	saltans
FBte0001105	Dyak\Tirant	Drosophila	yakuba
FBte0000874	Dkik\gypsy	Drosophila	kikkawai
FBte0001072	Dper\R1-element	Drosophila	persimilis
FBte0001106	Dwil\Bari1	Drosophila	willistoni
FBte0001107	Ddip\mariner	Drosophila	diplacantha
FBte0001052	Dore\1731	Drosophila	orena
FBte0001071	Dtak\R1-element	Drosophila	takahashii
FBte0001108	Dsec\Bari1	Drosophila	sechellia
FBte0001109	Dyak\P-element	Drosophila	yakuba
FBte0000763	Bmor\R2-element	Bombyx	mori
FBte0000869	Dpau\gypsy	Drosophila	paulistorum
FBte0001110	Dneo\Bari1	Drosophila	neocordata
FBte0000483	Dmon\412	Drosophila	montana
FBte0000693	Dsim\rover	Drosophila	simulans
FBte0000747	Dqui\R2-element	Drosophila	quinaria
FBte0000628	ninja	Drosophila	melanogaster
FBte0001111	Dast\micropia	Drosophila	austrosaltans
FBte0001112	Dato\micropia	Drosophila	antonietae
FBte0000217	ZAM	Drosophila	melanogaster
FBte0001114	Dmlp\Bari1	Drosophila	melanopalpa
FBte0000226	Dmat\I-element	Drosophila	malerkotliana
FBte0000979	Dtei\FB	Drosophila	teissieri
FBte0000588	Dbuz\Osvaldo	Drosophila	buzzatii
FBte0001115	Calypso	Drosophila	melanogaster
FBte0000253	Dgua\I-element	Drosophila	guanche
FBte0000855	Dmir\gypsy	Drosophila	miranda
FBte0001116	Dcap\P-element	Drosophila	capricorni
FBte0001117	Dana\mariner	Drosophila	ananassae
FBte0001118	Ddac\micropia	Drosophila	dacunhai
FBte0001119	Zvit\mariner	Zaprionus	vittiger
FBte0000201	Dgri\Uhu	Drosophila	grimshawi
FBte0001120	Dpau\P-element	Drosophila	paulistorum
FBte0000515	Dimm\412	Drosophila	immigrans
FBte0001054	Dimm\1731	Drosophila	immigrans
FBte0000191	Dpin\Uhu	Drosophila	pinicola
FBte0001121	Dmau\Bari1	Drosophila	mauritiana
FBte0000484	Dmir\412	Drosophila	miranda
FBte0000845	Dpse\gypsy	Drosophila	pseudoobscura pseudoobscura
FBte0001113	Dsec\ZAM	Drosophila	sechellia
FBte0001122	Dbuz\BuT6	Drosophila	buzzatii
FBte0000228	Dkik\I-element	Drosophila	kikkawai
FBte0001123	Dame\Helena	Drosophila	americana americana
FBte0001124	Dsub\Tirant	Drosophila	subobscura
FBte0001074	Dana\R1-element	Drosophila	ananassae
FBte0000200	Dmic\Uhu	Drosophila	mimica
FBte0001047	Dyak\1731	Drosophila	yakuba
FBte0001067	Dlut\R1-element	Drosophila	lutescens
FBte0000510	Dmal\412	Drosophila	malagassya
FBte0000549	Dmrt\Gandalf	Drosophila	martensis
FBte0000518	Dfun\412	Drosophila	funebris
FBte0001125	Dbip\P-element	Drosophila	bipectinata
FBte0000547	Dnid\Gandalf	Drosophila	nigrodumosa
FBte0001100	Dngo\INE-1	Drosophila	nigrodunni
FBte0000255	Dazt\I-element	Drosophila	azteca
FBte0001126	Daur\Bari1	Drosophila	auraria
FBte0000848	Dvnz\gypsy	Drosophila	venezolana
FBte0001127	Dlim\P-element	Drosophila	limbata
FBte0001051	Dsec\1731	Drosophila	sechellia
FBte0000383	Dluc\F-element	Drosophila	lucipennis
FBte0000037	P-element	Drosophila	melanogaster
FBte0001048	Dwil\1731	Drosophila	willistoni
FBte0001134	ISBu2-Dbuz-like	Drosophila	melanogaster
FBte0000472	Stalker2	Drosophila	melanogaster
FBte0000522	Dcau\412	Drosophila	cauverii
FBte0000640	Quasimodo	Drosophila	melanogaster
FBte0001073	Dbuz\R1-element	Drosophila	buzzatii
FBte0001007	Dmer\Minos	Drosophila	mercatorum mercatorum
FBte0001057	Dalg\1731	Drosophila	algonquin
FBte0001136	gypsy12	Drosophila	melanogaster
FBte0000526	Dbii\412	Drosophila	biarmipes
FBte0001049	Dvul\1731	Drosophila	vulcana
FBte0001137	Dbuz\ISBu4	Drosophila	buzzatii
FBte0001138	422	Drosophila	melanogaster
FBte0001019	Dpin\copia	Drosophila	pinicola
FBte0001139	Dgre\mariner	Drosophila	greeni
FBte0000760	Dmau\R2-element	Drosophila	mauritiana
FBte0000552	Dhye\Gandalf	Drosophila	hydeoides
FBte0000860	Dazt\gypsy	Drosophila	azteca
FBte0000541	Dvnz\Gandalf	Drosophila	venezolana
FBte0001140	Doc3-element	Drosophila	melanogaster
FBte0000017	Dvir\Helena	Drosophila	virilis
FBte0001144	Dfun\Isfun-1	Drosophila	funebris
FBte0001145	Dvir\INE	Drosophila	virilis
FBte0001146	Dmoi\mariner	Drosophila	monieri
FBte0001147	Dstu\micropia	Drosophila	sturtevanti
FBte0000875	Dgua\gypsy	Drosophila	guanche
FBte0001148	Dsei\copia	Drosophila	seriema
FBte0001149	Dtri\mdg1	Drosophila	tristis
FBte0001150	Dbor\Helena	Drosophila	borealis
FBte0000223	Dtsa\I-element	Drosophila	tsacasi
FBte0001130	Lmik\P-element	Lordiphosa	miki
FBte0000870	Dpap\gypsy	Drosophila	pallidipennis
FBte0000749	Dori\R2-element	Drosophila	orientacea
FBte0001068	Dbip\R1-element	Drosophila	bipectinata
FBte0001132	Dhel\P-element	Drosophila	helvetica
FBte0000753	Dana\R2-element	Drosophila	ananassae
FBte0001151	Dneh\micropia	Drosophila	neohydei
FBte0000100	roo	Drosophila	melanogaster
FBte0000396	Dmir\F-element	Drosophila	miranda
FBte0000381	Dmul\F-element	Drosophila	mulleri
FBte0000873	Dmau\gypsy	Drosophila	mauritiana
FBte0001143	Dezo\Helena	Drosophila	ezoana
FBte0000877	Dequ\gypsy	Drosophila	equinoxialis
FBte0001152	Penelope-Dvir-like	Drosophila	melanogaster
FBte0001153	Dmer\micropia	Drosophila	mercatorum mercatorum
FBte0001025	Dsim\copia	Drosophila	simulans
FBte0000856	Dluc\gypsy	Drosophila	lucipennis
FBte0000754	Dtei\R2-element	Drosophila	teissieri
FBte0000866	Dyak\gypsy	Drosophila	yakuba
FBte0001011	Dsal\Minos	Drosophila	saltans
FBte0000553	Dhyd\Gandalf	Drosophila	hydei
FBte0000393	Dpsb\F-element	Drosophila	pseudoobscura bogotana
FBte0001154	Dstu\Bari1	Drosophila	sturtevanti
FBte0001014	Dpch\Minos	Drosophila	pachuca
FBte0001013	Dsri\Minos	Drosophila	serido
FBte0001095	Dpse\mdg3	Drosophila	pseudoobscura pseudoobscura
FBte0001155	Zorn\mariner	Zaprionus	ornatus
FBte0001156	Dbus\micropia	Drosophila	busckii
FBte0001157	Stalker3	Drosophila	melanogaster
FBte0000046	bilbo	Drosophila	melanogaster
FBte0001135	Dere\Bari1	Drosophila	erecta
FBte0001158	Dmim\mariner	Drosophila	mimetica
FBte0001069	Dqui\R1-element	Drosophila	quinaria
FBte0000199	Dnig\Uhu	Drosophila	nigra
FBte0001159	Dpaa\Bari1	Drosophila	pavani
FBte0001003	Dpse\3S18	Drosophila	pseudoobscura pseudoobscura
FBte0001099	Dpmo\INE-1	Drosophila	polymorpha
FBte0001160	X-element	Drosophila	melanogaster
FBte0001161	Tel-Dvir-like	Drosophila	melanogaster
FBte0001162	Dneb\Bari1	Drosophila	nebulosa
FBte0000233	Dbur\I-element	Drosophila	burlai
FBte0000015	mdg1	Drosophila	melanogaster
FBte0001165	Dame\Ulysses	Drosophila	americana americana
FBte0000851	Dstu\gypsy	Drosophila	sturtevanti
FBte0000057	Dnik\bilbo	Drosophila	nikananu
FBte0000194	Dset\Uhu	Drosophila	setosimentum
FBte0001167	Dnar\Bari1	Drosophila	narragansett
FBte0000179	Tirant	Drosophila	melanogaster
FBte0000876	Dgau\gypsy	Drosophila	gaucha
FBte0000859	Dele\gypsy	Drosophila	elegans
FBte0000496	Dtsa\412	Drosophila	tsacasi
FBte0001053	Dmau\1731	Drosophila	mauritiana
FBte0001168	Dyak\HMS-Beagle	Drosophila	yakuba
FBte0000063	Dlat\bilbo	Scaptodrosophila	latifasciaeformis
FBte0000499	Dstu\412	Drosophila	sturtevanti
FBte0001169	Dnik\mariner	Drosophila	nikananu
FBte0001170	Galileo-Dbuz-like	Drosophila	melanogaster
FBte0000248	Dper\I-element	Drosophila	persimilis
FBte0000219	Dleb\I-element	Scaptodrosophila	lebanonensis
FBte0000392	Dsub\F-element	Drosophila	subobscura
FBte0000758	Dnas\R2-element	Drosophila	nasuta
FBte0001050	Dtak\1731	Drosophila	takahashii
FBte0000858	Deug\gypsy	Drosophila	eugracilis
FBte0001027	Dere\copia	Drosophila	erecta
FBte0000388	Dele\F-element	Drosophila	elegans
FBte0001171	G3	Drosophila	melanogaster
FBte0000545	Dsri\Gandalf	Drosophila	serido
FBte0001101	Dyak\INE-1	Drosophila	yakuba
FBte0000752	Dbip\R2-element	Drosophila	bipectinata
FBte0000516	Dima\412	Drosophila	imaii
FBte0001172	Dgou\copia	Drosophila	gouveai
FBte0000051	Dsim\bilbo	Drosophila	simulans
FBte0000878	Dcap\gypsy	Drosophila	capricorni
FBte0001012	Dmoj\Minos	Drosophila	mojavensis
FBte0001173	Dpse\Bari1	Drosophila	pseudoobscura pseudoobscura
FBte0001174	transib4	Drosophila	melanogaster
FBte0001021	Djam\copia	Drosophila	jambulina
FBte0001175	gypsy6	Drosophila	melanogaster
FBte0001046	Dimm\Ulysses	Drosophila	immigrans
FBte0001045	Dlum\Ulysses	Drosophila	lummei
FBte0000618	Dmau\Circe	Drosophila	mauritiana
FBte0000957	Dsim\Doc	Drosophila	simulans
FBte0000231	Dere\I-element	Drosophila	erecta
FBte0001176	Dazt\mariner	Drosophila	azteca
FBte0000569	Dana\pogo	Drosophila	ananassae
FBte0000852	Dpsb\gypsy	Drosophila	pseudoobscura bogotana
FBte0001177	Dpee\mariner	Drosophila	pennae
FBte0001129	Dast\P-element	Drosophila	austrosaltans
FBte0001178	diver2	Drosophila	melanogaster
FBte0000067	Dfun\bilbo	Drosophila	funebris
FBte0001179	Dsim\X-element	Drosophila	simulans
FBte0001024	Dsus\copia	Drosophila	subsilvestris
FBte0000502	Dpro\412	Drosophila	prosaltans
FBte0000034	Bari1	Drosophila	melanogaster
FBte0001181	Dpbp\mariner	Drosophila	parabipectinata
FBte0001182	Dvra\gypsy-like	Drosophila	viracochi
FBte0000229	Dfic\I-element	Drosophila	ficusphila
FBte0001141	Dsec\Helena	Drosophila	sechellia
FBte0000095	Dleb\jockey	Scaptodrosophila	lebanonensis
FBte0000042	micropia	Drosophila	melanogaster
FBte0000074	Daur\bilbo	Drosophila	auraria
FBte0001184	Dhyd\micropia	Drosophila	hydei
FBte0000102	Dmau\mariner	Drosophila	mauritiana
FBte0000432	Dtei\hobo	Drosophila	teissieri
FBte0001164	Dalg\mdg1	Drosophila	algonquin
FBte0001185	Dvir\mariner	Drosophila	virilis
FBte0001131	Dhaw\P-element	Drosophila	hawaiiensis
FBte0001096	Dsim\mdg3	Drosophila	simulans
FBte0001187	Dpse\transib3	Drosophila	pseudoobscura pseudoobscura
FBte0001180	Dser\Bari1	Drosophila	serrata
FBte0000509	Dmat\412	Drosophila	malerkotliana
FBte0001163	Dsus\mdg1	Drosophila	subsilvestris
FBte0000390	Dboa\F-element	Drosophila	bocainensis
FBte0000967	Penelope	Drosophila	melanogaster
FBte0001133	Dalg\P-element	Drosophila	algonquin
FBte0001186	Dkit\mariner	Drosophila	kitumensis
FBte0001188	Dbuz\BuT5	Drosophila	buzzatii
FBte0001183	Dlng\micropia	Drosophila	longicornis
FBte0000524	Dboc\412	Drosophila	bocqueti
FBte0000671	Dsim\hopper	Drosophila	simulans
FBte0001189	Dhyd\Bungy	Drosophila	hydei
FBte0001142	Dore\Helena	Drosophila	orena
FBte0000085	Dalg\bilbo	Drosophila	algonquin
FBte0000439	Dpun\hobo	Drosophila	punjabiensis
FBte0001289	Dsim\TAHRE	Drosophila	simulans
FBte0001291	Dyak\TAHRE	Drosophila	yakuba
FBte0001290	Dsec\TAHRE	Drosophila	sechellia
FBte0001294	Dere\TAHRE	Drosophila	erecta
FBte0001292	Dmau\TAHRE	Drosophila	mauritiana
FBte0001293	Dsan\TAHRE	Drosophila	santomea
FBte0001295	Dsec\HeT-A	Drosophila	sechellia
FBte0001296	Dsec\TART-element	Drosophila	sechellia
FBte0001303	Dsec\PLT1	Drosophila	sechellia
FBte0001301	Dyak\PLT1	Drosophila	yakuba
FBte0001316	Xanthias	Drosophila	melanogaster
FBte0001190	Dere\Tirant	Drosophila	erecta
FBte0001205	Dbuz\Isis	Drosophila	buzzatii
FBte0001395	Dbuz\PERI	Drosophila	buzzatii
FBte0001396	Dere\Helena	Drosophila	erecta
FBte0001397	Dana\Helena	Drosophila	ananassae
FBte0001398	Dmoj\Helena	Drosophila	mojavensis
FBte0001208	TART-C	Drosophila	melanogaster
FBte0001207	TART-B	Drosophila	melanogaster
FBte0001206	TART-A	Drosophila	melanogaster
FBte0001209	Dere\gtwin	Drosophila	erecta
FBte0001210	Dsim\gtwin	Drosophila	simulans
FBte0001211	Dyak\gtwin	Drosophila	yakuba
FBte0001212	Dmau\gtwin	Drosophila	mauritiana
FBte0001213	Dsec\gtwin	Drosophila	sechellia
FBte0001214	Dore\gtwin	Drosophila	orena
FBte0001215	Dtei\gtwin	Drosophila	teissieri
FBte0001216	Dsan\gtwin	Drosophila	santomea
FBte0001227	Tni\TED	Trichoplusia	ni
FBte0001228	Ccap\opus	Ceratitis	capitata
FBte0001344	Dmoj\TR1C	Drosophila	mojavensis
FBte0001345	Dmoj\TR1D	Drosophila	mojavensis
FBte0001346	Dmoj\TR1E	Drosophila	mojavensis
FBte0001347	Dmoj\HTR1Ab	Drosophila	mojavensis
FBte0001348	Dmoj\HTR1C	Drosophila	mojavensis
FBte0001349	Dmoj\HTR1D	Drosophila	mojavensis
FBte0001350	Dmoj\HTR1E	Drosophila	mojavensis
FBte0001351	Dmoj\TR3A	Drosophila	mojavensis
FBte0001352	Dmoj\HTR2Aa	Drosophila	mojavensis
FBte0001353	Dmoj\HTR2Ab	Drosophila	mojavensis
FBte0001354	Dmoj\HTR3Ba	Drosophila	mojavensis
FBte0001355	Dmoj\HTR3Bb	Drosophila	mojavensis
FBte0001356	Dmoj\HTR3Ca	Drosophila	mojavensis
FBte0001357	Dmoj\HTR3Cb	Drosophila	mojavensis
FBte0001358	Dvir\HTR0Aa	Drosophila	virilis
FBte0001359	Dvir\HTR0Ab	Drosophila	virilis
FBte0001360	Dvir\HTR0B	Drosophila	virilis
FBte0001361	Dvir\TR1A	Drosophila	virilis
FBte0001362	Dvir\TR1B	Drosophila	virilis
FBte0001363	Dvir\TR2A	Drosophila	virilis
FBte0001364	Dvir\TR2B	Drosophila	virilis
FBte0001365	Dvir\TR2C	Drosophila	virilis
FBte0001366	Dvir\H'TR2B	Drosophila	virilis
FBte0001317	Dere\HeT-A	Drosophila	erecta
FBte0001318	Dsim\TART	Drosophila	simulans
FBte0001319	Dmau\TARTA	Drosophila	mauritiana
FBte0001320	Dyak\TART1	Drosophila	yakuba
FBte0001321	Dyak\TART2	Drosophila	yakuba
FBte0001322	Dana\HTRX	Drosophila	ananassae
FBte0001323	Dana\HTRY	Drosophila	ananassae
FBte0001324	Dana\HTRZ	Drosophila	ananassae
FBte0001325	Dper\TR4Aa	Drosophila	persimilis
FBte0001326	Dper\TR4Ab	Drosophila	persimilis
FBte0001327	Dper\TR3Aa	Drosophila	persimilis
FBte0001328	Dper\TR3Ab	Drosophila	persimilis
FBte0001329	Dper\TR1A	Drosophila	persimilis
FBte0001330	Dper\TR2A	Drosophila	persimilis
FBte0001331	Dana\TR2A	Drosophila	ananassae
FBte0001332	Dana\HTR2A	Drosophila	ananassae
FBte0001333	Dper\HTR1A	Drosophila	persimilis
FBte0001334	Dper\HTR3Aa	Drosophila	persimilis
FBte0001335	Dper\HTR3Ab	Drosophila	persimilis
FBte0001336	Dper\HTR3B	Drosophila	persimilis
FBte0001337	Dper\TR3B	Drosophila	persimilis
FBte0001338	Dmoj\TR1Aa	Drosophila	mojavensis
FBte0001339	Dmoj\TR1Ab	Drosophila	mojavensis
FBte0001340	Dmoj\TR1Ac	Drosophila	mojavensis
FBte0001341	Dmoj\TR1Bb	Drosophila	mojavensis
FBte0001342	Dmoj\TR1Bc	Drosophila	mojavensis
FBte0001343	Dmoj\TR1Ba	Drosophila	mojavensis
FBte0001367	Dgri\TR2Aa	Drosophila	grimshawi
FBte0001368	Dgri\TR2Ab	Drosophila	grimshawi
FBte0001369	Dgri\HTR2B	Drosophila	grimshawi
FBte0001370	Dgri\HTR2C	Drosophila	grimshawi
FBte0001371	Dpse\TR4Aa	Drosophila	pseudoobscura pseudoobscura
FBte0001372	Dpse\TR3A	Drosophila	pseudoobscura pseudoobscura
FBte0001373	Dpse\TR2A	Drosophila	pseudoobscura pseudoobscura
FBte0001374	Dpse\HTR3A	Drosophila	pseudoobscura pseudoobscura
FBte0001375	Dpse\TR1A	Drosophila	pseudoobscura pseudoobscura
FBte0001376	Dpse\HTR1A	Drosophila	pseudoobscura pseudoobscura
FBte0001218	Dsal\Q-saltans1	Drosophila	saltans
FBte0001219	Dpro\Q-saltans1	Drosophila	prosaltans
FBte0001220	Dssa\Q-saltans1	Drosophila	subsaltans
FBte0001221	Dneo\Q-saltans1	Drosophila	neocordata
FBte0001222	Dema\Q-saltans1	Drosophila	emarginata
FBte0001223	Dtro\Q-saltans1	Drosophila	tropicalis
FBte0001224	Dequ\Q-saltans1	Drosophila	equinoxialis
FBte0001225	Dpau\Q-saltans1	Drosophila	paulistorum
FBte0001226	Dwil\Q-saltans1	Drosophila	willistoni
FBte0001244	Derm\micropia	Drosophila	eremophila
FBte0001245	Dmet\micropia	Drosophila	mettleri
FBte0001246	Danc\micropia	Drosophila	anceps
FBte0001247	Drit\micropia	Drosophila	ritae
FBte0001236	Dald\micropia	Drosophila	aldrichi
FBte0001237	Dwhe\micropia	Drosophila	wheeleri
FBte0001248	Dana\Hoana1	Drosophila	ananassae
FBte0001249	Dana\Hoana2	Drosophila	ananassae
FBte0001238	Dnav\micropia	Drosophila	navojoa
FBte0001239	Dari\micropia	Drosophila	arizonae
FBte0001240	Dmoj\micropia	Drosophila	mojavensis
FBte0001241	Dmnl\micropia	Drosophila	mainlandi
FBte0001250	Dana\Hoana3	Drosophila	ananassae
FBte0001242	Dpch\micropia	Drosophila	pachuca
FBte0001243	Dhex\micropia	Drosophila	hexastigma
FBte0001251	Dana\Hoana4	Drosophila	ananassae
FBte0001252	Dana\Hoana5	Drosophila	ananassae
FBte0001253	Dana\Hoana6	Drosophila	ananassae
FBte0001254	Dana\Hoana7	Drosophila	ananassae
FBte0001255	Dana\Hoana8	Drosophila	ananassae
FBte0001256	Dmoj\Homo1	Drosophila	mojavensis
FBte0001257	Dmoj\Homo2	Drosophila	mojavensis
FBte0001258	Dmoj\Homo3	Drosophila	mojavensis
FBte0001259	Dmoj\Homo4	Drosophila	mojavensis
FBte0001260	Dmoj\Homo5	Drosophila	mojavensis
FBte0001261	Dmoj\Homo6	Drosophila	mojavensis
FBte0001262	Dmoj\Homo7	Drosophila	mojavensis
FBte0001263	Dmoj\Homo8	Drosophila	mojavensis
FBte0001264	Dmoj\Homo9	Drosophila	mojavensis
FBte0001265	Dmoj\Homo10	Drosophila	mojavensis
FBte0001266	Dmoj\Homo11	Drosophila	mojavensis
FBte0001267	Dsim\Hosim1	Drosophila	simulans
FBte0001268	Dsec\Hosec1	Drosophila	sechellia
FBte0001269	Dsec\Hosec2	Drosophila	sechellia
FBte0001270	Dvir\Hovi1	Drosophila	virilis
FBte0001271	Dvir\Hovi2	Drosophila	virilis
FBte0001272	Dyak\Hoyak1	Drosophila	yakuba
FBte0001273	Dyak\Hoyak2	Drosophila	yakuba
FBte0001274	Dyak\Hoyak3	Drosophila	yakuba
FBte0001275	Dper\Hopers1	Drosophila	persimilis
FBte0001276	Dper\Hopers2	Drosophila	persimilis
FBte0001277	Dper\Hopers3	Drosophila	persimilis
FBte0001278	Dgri\Hogri1	Drosophila	grimshawi
FBte0001279	Dwil\Howilli1	Drosophila	willistoni
FBte0001280	Dwil\Howilli2	Drosophila	willistoni
FBte0001281	Dwil\Howilli3	Drosophila	willistoni
FBte0001282	Dwil\Howilli4	Drosophila	willistoni
FBte0001283	Dwil\Howilli5	Drosophila	willistoni
FBte0001284	Dpse\Hopseu2	Drosophila	pseudoobscura pseudoobscura
FBte0001285	Dpse\hAT1	Drosophila	pseudoobscura pseudoobscura
FBte0001229	Dvir\bilbo-like	Drosophila	virilis
FBte0001230	Dlum\bilbo-like	Drosophila	lummei
FBte0001231	Dlit\bilbo-like	Drosophila	littoralis
FBte0001232	Dame\bilbo-like	Drosophila	americana americana
FBte0001233	Dtex\bilbo-like	Drosophila	americana texana
FBte0001234	Dnov\bilbo-like	Drosophila	novamexicana
FBte0001313	Dmir\chekov	Drosophila	miranda
FBte0001314	Dmir\ohura	Drosophila	miranda
FBte0001315	Dmir\crusher	Drosophila	miranda
FBte0001400	Ztub\copia	Zaprionus	tuberculatus
FBte0001401	Zind\copia	Zaprionus	indianus
