uniquename	name	genus	species
FBte0000699	Dhyd\R1-element	Drosophila	hydei
FBte0000700	Dsim\ZAM	Drosophila	simulans
FBte0000928	Dbur\P-element	Drosophila	burlai
FBte0000465	Dore\R2-element	Drosophila	orena
FBte0000466	NOF	Drosophila	melanogaster
FBte0000955	Dgua\IS	Drosophila	guanche
FBte0000377	Dtak\F-element	Drosophila	takahashii
FBte0000630	Dmau\ninja	Drosophila	mauritiana
FBte0000467	Dyak\R1-element	Drosophila	yakuba
FBte0000956	accord	Drosophila	melanogaster
FBte0000399	Dafs\F-element	Drosophila	affinis
FBte0000382	Dmlp\F-element	Drosophila	melanopalpa
FBte0000324	Deur\Bari1	Drosophila	euronotus
FBte0000639	Dmau\Quasimodo	Drosophila	mauritiana
FBte0000416	Dbuz\Paris	Drosophila	buzzatii
FBte0000775	Dequ\Bari1	Drosophila	equinoxialis
FBte0000701	Dazt\P-element	Drosophila	azteca
FBte0000702	Dsus\gypsy	Drosophila	subsilvestris
FBte0000548	Dmul\Gandalf	Drosophila	mulleri
FBte0000641	Dbif\TRIM	Drosophila	bifasciata
FBte0000468	Dmim\Tirant	Drosophila	mimetica
FBte0000469	Darz\Bari1	Drosophila	arizonensis
FBte0000076	Dara\bilbo	Drosophila	aracataca
FBte0000703	Dcub\gypsy	Drosophila	cubana
FBte0000704	Dtra\P-element	Drosophila	triauraria
FBte0000341	Doc	Drosophila	melanogaster
FBte0000625	Dfal\R1-element	Drosophila	falleni
FBte0000958	G6	Drosophila	melanogaster
FBte0000959	Dval\mariner	Drosophila	vallismaia
FBte0000082	Dmir\bilbo	Drosophila	miranda
FBte0000756	Dsec\R2-element	Drosophila	sechellia
FBte0000929	Dnav\Minos	Drosophila	navojoa
FBte0000803	Dpic\Loa	Drosophila	picticornis
FBte0000535	Dsec\ninja	Drosophila	sechellia
FBte0000930	hopper2	Drosophila	melanogaster
FBte0000750	Dvar\R2-element	Drosophila	varians
FBte0000960	Dpse\P-element	Drosophila	pseudoobscura pseudoobscura
FBte0000061	Dmad\bilbo	Drosophila	madeirensis
FBte0000642	Dafs\P-element	Drosophila	affinis
FBte0000643	castaway	Drosophila	melanogaster
FBte0000087	Dmil\P-element	Drosophila	microlabis
FBte0000931	Dori\R1-element	Drosophila	orientacea
FBte0000961	INE-1-Dbuz-like	Drosophila	melanogaster
FBte0000088	jockey	Drosophila	melanogaster
FBte0000862	Dafs\gypsy	Drosophila	affinis
FBte0000498	Dtak\412	Drosophila	takahashii
FBte0000932	HeT-A-Dyak-like	Drosophila	melanogaster
FBte0000097	Dafs\Bari1	Drosophila	affinis
FBte0000705	Dore\R1-element	Drosophila	orena
FBte0000052	Dser\bilbo	Drosophila	serrata
FBte0000375	Dpse\F-element	Drosophila	pseudoobscura pseudoobscura
FBte0000849	Duns\gypsy	Drosophila	uniseta
FBte0000098	Dboa\gypsy	Drosophila	bocainensis
FBte0000122	Dmau\aurora-element	Drosophila	mauritiana
FBte0000933	Selm\P-element	Scaptomyza	elmoi
FBte0000706	Dssa\micropia	Drosophila	subsaltans
FBte0000081	Dobs\bilbo	Drosophila	obscura
FBte0000934	worf-Dmir-like	Drosophila	melanogaster
FBte0000935	Dbuz\BuT3	Drosophila	buzzatii
FBte0000517	Dgre\412	Drosophila	greeni
FBte0000936	Dmad\P-element	Drosophila	madeirensis
FBte0000937	Dpro\micropia	Drosophila	prosaltans
FBte0000099	Dyak\roo	Drosophila	yakuba
FBte0000101	Camo\mariner	Chymomyza	amoena
FBte0000627	Dtsa\mariner	Drosophila	tsacasi
FBte0000536	Dsim\ninja	Drosophila	simulans
FBte0000707	Dcub\P-element	Drosophila	cubana
FBte0000708	Lsta\P-element	Lordiphosa	stackelbergi
FBte0000441	Dlii\hobo	Drosophila	lini
FBte0000776	Tom-Dana-like	Drosophila	melanogaster
FBte0000777	Dmau\Tirant	Drosophila	mauritiana
FBte0000103	Doc2-element	Drosophila	melanogaster
FBte0000962	Ddip\Bari1	Drosophila	diplacantha
FBte0000104	Idefix	Drosophila	melanogaster
FBte0000709	S2	Drosophila	melanogaster
FBte0000111	Dere\aurora-element	Drosophila	erecta
FBte0000938	Dema\Minos	Drosophila	emarginata
FBte0000939	Dnov\Osvaldo	Drosophila	novamexicana
FBte0000778	Dbuz\micropia	Drosophila	buzzatii
FBte0000106	Dtri\mdg3	Drosophila	tristis
FBte0000107	Ddav\P-element	Drosophila	davidi
FBte0000779	Dbif\mariner	Drosophila	bifasciata
FBte0000940	Dobs\mariner	Drosophila	obscura
FBte0000941	Dpse\Helena	Drosophila	pseudoobscura pseudoobscura
FBte0000391	Dsus\F-element	Drosophila	subsilvestris
FBte0000780	BS	Drosophila	melanogaster
FBte0000781	Dcnd\Penelope	Drosophila	canadiana
FBte0000551	Dmay\Gandalf	Drosophila	mayaguana
FBte0000782	Loa	Drosophila	melanogaster
FBte0000446	Dbai\hobo	Drosophila	baimaii
FBte0000942	Dvir\Tel	Drosophila	virilis
FBte0000917	Dsim\opus	Drosophila	simulans
FBte0000964	Tni\piggyBac	Trichoplusia	ni
FBte0000965	Drep\micropia	Drosophila	repleta
FBte0000919	Dmed\P-element	Drosophila	mediopunctata
FBte0000847	Damb\gypsy	Drosophila	ambigua
FBte0000520	Ddos\412	Drosophila	dossoui
FBte0000241	Dtol\I-element	Drosophila	tolteca
FBte0000943	Dath\P-element	Drosophila	athabasca
FBte0000739	Burdock	Drosophila	melanogaster
FBte0000783	Tv1-Dvir-like	Drosophila	melanogaster
FBte0000784	Hirr\Himar1	Haemotobia	irritans
FBte0000710	Dsri\micropia	Drosophila	serido
FBte0000711	Dmau\INE-1	Drosophila	mauritiana
FBte0000785	Dtex\Ulysses	Drosophila	americana texana
FBte0000196	Dpic\Uhu	Drosophila	picticornis
FBte0000786	Dpaa\copia	Drosophila	pavani
FBte0000115	Dkik\copia	Drosophila	kikkawai
FBte0000116	Drec\R2-element	Drosophila	recens
FBte0000944	Dgri\1731	Drosophila	grimshawi
FBte0000113	Dkoe\Minos	Drosophila	koepferae
FBte0000712	Dbrb\gypsy	Drosophila	borborema
FBte0000528	Dtri\412	Drosophila	tristis
FBte0000114	Dtol\F-element	Drosophila	tolteca
FBte0000648	Dtol\P-element	Drosophila	tolteca
FBte0000787	Dino\gypsy	Drosophila	incompta
FBte0000788	Dsec\FB	Drosophila	sechellia
FBte0000789	Minos-Dhyd-like	Drosophila	melanogaster
FBte0000649	TART-Dyak-like	Drosophila	melanogaster
FBte0000117	Dtei\R1-element	Drosophila	teissieri
FBte0000713	Vege-Dwil-like	Drosophila	melanogaster
FBte0000714	Dana\P-element	Drosophila	ananassae
FBte0000790	Dpse\copia	Drosophila	pseudoobscura pseudoobscura
FBte0000503	Dore\412	Drosophila	orena
FBte0000872	Dmdp\gypsy	Drosophila	mediopicta
FBte0000834	Dtro\Vege	Drosophila	tropicalis
FBte0000966	Dyak\copia	Drosophila	yakuba
FBte0000791	Porto1	Drosophila	melanogaster
FBte0000062	Dleb\bilbo	Scaptodrosophila	lebanonensis
FBte0001090	Delta88	Drosophila	melanogaster
FBte0000119	Dlit\mariner	Drosophila	littoralis
FBte0000112	aurora-element	Drosophila	melanogaster
FBte0000792	Dwil\INE-1	Drosophila	willistoni
FBte0000793	Dbuz\ISBu2	Drosophila	buzzatii
FBte0000523	Dbuz\412	Drosophila	buzzatii
