G2,FBte0000800,AC006215,Dmel/G2,non_LTR_retrotransposon
P_T,FBte0000823,AF012414,Damb/P-element,terminal_inverted_repeat_element
TC1-2,FBte0000838,nnnnnnnn,Dmel/Tc1-2,terminal_inverted_repeat_element
TRANSIB2,FBte0000885,nnnnnnnn,Dmel/transib2,terminal_inverted_repeat_element
TARTYAK,FBte0000886,AF468026,Dyak/TART-element,non_LTR_retrotransposon
BUT4,FBte0000890,AF368868,Dbuz/BuT4,terminal_inverted_repeat_element
MAR,FBte0000892,AF518731,Dwil/Mar,mite
BAGGINS,FBte0000906,nnnnnnnn,Dmel/baggins,non_LTR_retrotransposon
OPUS,FBte0000918,AY180918,Dmel/opus,LTR_retrotransposon
McCLINTOCK,FBte0000926,AF541948,Dmel/McClintock,LTR_retrotransposon
TC1,FBte0000927,nnnnnnnn,Dmel/Tc1,terminal_inverted_repeat_element
HOPPER2,FBte0000930,AF541950,Dmel/hopper2,terminal_inverted_repeat_element
BUT3,FBte0000935,AF368870,Dbuz/BuT3,terminal_inverted_repeat_element
AF009439,FBte0000942,AF009439,Dvir/Tel,LTR_retrotransposon
SPOCK,FBte0000948,AY144571,Dmir/spock,non_LTR_retrotransposon
ACCORD,FBte0000956,nnnnnnnn,Dmel/accord,LTR_retrotransposon
G6_DM,FBte0000958,,Dmel/G6,non_LTR_retrotransposon
DDBARI1,FBte0000962,Y13852,Ddip/Bari1,terminal_inverted_repeat_element
AF541951,FBte0000963,AF541951,Dmel/Bari2,terminal_inverted_repeat_element
TABOR,FBte0000974,AC007146,Dmel/Tabor,LTR_retrotransposon
JUAN,FBte0000982,AY180919,Dmel/Juan,non_LTR_retrotransposon
HEL,FBte0000984,nnnnnnnn,Dmel/Helena,non_LTR_retrotransposon
FW2,FBte0001002,nnnnnnnn,Dmel/Fw2,non_LTR_retrotransposon
DM33463,FBte0001005,U33463,Dmel/S-element,terminal_inverted_repeat_element
GYPSY3,FBte0001030,AC007477,Dmel/gypsy3,LTR_retrotransposon
