# submitted_id	current_id	converted_id	current_symbol
FBgn0069871	FBte0000827	FBte0000827	Dgua\SGM
FBgn0000155	FBte0000100	FBte0000100	roo
FBgn0026410	FBte0000927	FBte0000927	Tc1
FBgn0063455	FBte0000472	FBte0000472	Stalker2
FBgn0014947	FBte0000660	FBte0000660	flea
FBgn0067380	FBte0000591	FBte0000591	invader6
FBgn0015945	FBte0000359	FBte0000359	GATE
FBgn0026463	FBgn0026463	-	-
FBgn0061513	FBte0000314	FBte0000314	frogger
FBgn0043969	FBte0000001	FBte0000001	diver
FBgn0022937	FBte0000616	FBte0000616	Circe
FBgn0000006	FBte0000007	FBte0000007	412
FBgn0067385	FBte0001136	FBte0001136	gypsy12
FBgn0015679	FBte0000158	FBte0000158	Dvir\Penelope
FBgn0063919	FBte0000304	FBte0000304	Max-element
FBgn0010103	FBte0000112	FBte0000112	aurora-element
FBgn0063507	FBte0000800	FBte0000800	G2
FBgn0010242	FBte0000026	FBte0000026	Dhyd\Minos
FBgn0005384	FBte0000266	FBte0000266	3S18
FBgn0004146	FBte0000322	FBte0000322	Dvir\Ulysses
FBgn0063503	FBte0000958	FBte0000958	G6
FBgn0026416	FBte0000312	FBte0000312	INE-1
