embl_id,fb_id,source_id,flybase_name,species,te_name,te_type_gff,te_type_fasta,te_subtype_fasta
G7,FBte0000690,AC003788,Dmel\G7,Dmel,G7,non_LTR_retrotransposon,LINE,Jockey
ROVER,FBte0000692,AF492764,Dmel\rover,Dmel,rover,LTR_retrotransposon,LTR,Gypsy
S2,FBte0000709,nnnnnnnn,Dmel\S2,Dmel,S2,terminal_inverted_repeat_element,DNA,Tc1-Mariner
R1-2,FBte0000720,nnnnnnnn,Dmel\R1-2,Dmel,R1-2,non_LTR_retrotransposon,LINE,R1
TRANSIB3,FBte0000725,nnnnnnnn,Dmel\transib3,Dmel,transib3,terminal_inverted_repeat_element,DNA,Transib
DMU89994,FBte0000739,U89994,Dmel\Burdock,Dmel,Burdock,LTR_retrotransposon,LTR,Gypsy
GYPSY9,FBte0000764,AE002591,Dmel\gypsy9,Dmel,gypsy9,LTR_retrotransposon,LTR,Gypsy
ROOA_LTR,FBte0000765,NA,Dmel\rooA,Dmel,rooA,LTR_retrotransposon,LTR,Bel-Pao
G2,FBte0000800,AC006215,Dmel\G2,Dmel,G2,non_LTR_retrotransposon,LINE,Jockey
TC1-2,FBte0000838,nnnnnnnn,Dmel\Tc1-2,Dmel,Tc1-2,terminal_inverted_repeat_element,DNA,Tc1-Mariner
TRANSIB2,FBte0000885,nnnnnnnn,Dmel\transib2,Dmel,transib2,terminal_inverted_repeat_element,DNA,Transib
BAGGINS,FBte0000906,nnnnnnnn,Dmel\baggins,Dmel,baggins,non_LTR_retrotransposon,LINE,Loa
TC1,FBte0000927,nnnnnnnn,Dmel\Tc1,Dmel,Tc1,terminal_inverted_repeat_element,DNA,Tc1-Mariner
McCLINTOCK,FBte0000926,AF541948,Dmel\McClintock,Dmel,McClintock,LTR_retrotransposon,LTR,Gypsy
Xanthias,FBte0001316,FJ238509,Dmel\Xanthias,Dmel,Xanthias,LTR_retrotransposon,LTR,Copia
ACCORD,FBte0000956,nnnnnnnn,Dmel\accord,Dmel,accord,LTR_retrotransposon,LTR,Gypsy
G6_DM,FBte0000958,NA,Dmel\G6,Dmel,G6,non_LTR_retrotransposon,LINE,Jockey
FW2,FBte0001002,nnnnnnnn,Dmel\Fw2,Dmel,Fw2,non_LTR_retrotransposon,LINE,Jockey
DM33463,FBte0001005,U33463,Dmel\S-element,Dmel,S-element,terminal_inverted_repeat_element,DNA,Tc1-Mariner
GYPSY3,FBte0001030,AC007477,Dmel\gypsy3,Dmel,gypsy3,LTR_retrotransposon,LTR,Gypsy
MARINER2,FBte0001033,nnnnnnnn,Dmel\mariner2,Dmel,mariner2,terminal_inverted_repeat_element,DNA,Tc1-Mariner
DOC4,FBte0001039,nnnnnnnn,Dmel\Doc4-element,Dmel,Doc4-element,non_LTR_retrotransposon,LINE,Jockey
GYPSY2,FBte0001040,AL035631,Dmel\gypsy2,Dmel,gypsy2,LTR_retrotransposon,LTR,Gypsy
GYPSY11,FBte0001041,nnnnnnnn,Dmel\gypsy11,Dmel,gypsy11,LTR_retrotransposon,LTR,Gypsy
BS4,FBte0001042,nnnnnnnn,Dmel\BS4,Dmel,BS4,non_LTR_retrotransposon,LINE,Jockey
GTWIN,FBte0001062,AC006215,Dmel\gtwin,Dmel,gtwin,LTR_retrotransposon,LTR,Gypsy
INVADER2,FBte0001084,nnnnnnnn,Dmel\invader2,Dmel,invader2,LTR_retrotransposon,LTR,Gypsy
JOCKEY2,FBte0001092,NA,Dmel\jockey2,Dmel,jockey2,non_LTR_retrotransposon,LINE,Jockey
G5_DM,FBte0001128,NA,Dmel\G5,Dmel,G5,non_LTR_retrotransposon,LINE,Jockey
GYPSY12,FBte0001136,AE003789,Dmel\gypsy12,Dmel,gypsy12,LTR_retrotransposon,LTR,Gypsy
DOC3,FBte0001140,nnnnnnnn,Dmel\Doc3-element,Dmel,Doc3-element,non_LTR_retrotransposon,LINE,Jockey
STALKER3,FBte0001157,NA,Dmel\Stalker3,Dmel,Stalker3,LTR_retrotransposon,LTR,Gypsy
QBERT,FBte0001166,AF541947,Dmel\accord2,Dmel,accord2,LTR_retrotransposon,LTR,Gypsy
G3,FBte0001171,nnnnnnnn,Dmel\G3,Dmel,G3,non_LTR_retrotransposon,LINE,Jockey
GYPSY6,FBte0001175,nnnnnnnn,Dmel\gypsy6,Dmel,gypsy6,LTR_retrotransposon,LTR,Gypsy
DIVER2,FBte0001178,nnnnnnnn,Dmel\diver2,Dmel,diver2,LTR_retrotransposon,LTR,Bel-Pao
DM14101,FBte0001207,U14101,Dmel\TART-B,Dmel,TART-B,non_LTR_retrotransposon,LINE,Jockey
AF222049,FBte0001377,AF222049,Dmel\Transpac,Dmel,Transpac,LTR_retrotransposon,LTR,Gypsy
Beagle2,FBte0001399,3R.Release.3,Dmel\HMS-Beagle2,Dmel,HMS-Beagle2,LTR_retrotransposon,LTR,Gypsy
DM06920,FBte0000143,U06920,Dmel\HeT-A,Dmel,HeT-A,non_LTR_retrotransposon,LINE,Jockey
TIRANT,FBte0000179,X93507,Dmel\Tirant,Dmel,Tirant,LTR_retrotransposon,LTR,Gypsy
DME9736,FBte0000104,AJ009736,Dmel\Idefix,Dmel,Idefix,LTR_retrotransposon,LTR,Gypsy
TABOR,FBte0000974,AC007146,Dmel\Tabor,Dmel,Tabor,LTR_retrotransposon,LTR,Gypsy
DMIFACA,FBte0000133,M14954,Dmel\I-element,Dmel,I-element,non_LTR_retrotransposon,LINE,I
F,FBte0000005,AC005198,Dmel\F-element,Dmel,F-element,non_LTR_retrotransposon,LINE,Jockey
OPUS,FBte0000918,AY180918,Dmel\opus,Dmel,opus,LTR_retrotransposon,LTR,Gypsy
DOC2,FBte0000103,nnnnnnnn,Dmel\Doc2-element,Dmel,Doc2-element,non_LTR_retrotransposon,LINE,Jockey
DMDM11,FBte0000042,X14037,Dmel\micropia,Dmel,micropia,LTR_retrotransposon,LTR,Gypsy
JUAN,FBte0000982,AY180919,Dmel\Juan,Dmel,Juan,non_LTR_retrotransposon,LINE,Jockey
Beagle,FBte0000726,AF365402,Dmel\HMS-Beagle,Dmel,HMS-Beagle,LTR_retrotransposon,LTR,Gypsy
BLOOD,FBte0000279,AY180916,Dmel\blood,Dmel,blood,LTR_retrotransposon,LTR,Gypsy
412,FBte0000007,nnnnnnnn,Dmel\412,Dmel,412,LTR_retrotransposon,LTR,Gypsy
AY561850,FBte0001206,AY561850,Dmel\TART-A,Dmel,TART-A,non_LTR_retrotransposon,LINE,Jockey
DMHFL1,FBte0000154,M69216,Dmel\hobo,Dmel,hobo,terminal_inverted_repeat_element,DNA,hAT
Tinker,FBte0000001,AC004377,Dmel\diver,Dmel,diver,LTR_retrotransposon,LTR,Bel-Pao
RT1B,FBte0000603,AC005734,Dmel\Rt1b,Dmel,Rt1b,non_LTR_retrotransposon,LINE,R1
DM_ROO,FBte0000100,AY180917,Dmel\roo,Dmel,roo,LTR_retrotransposon,LTR,Bel-Pao
TRANSIB1,FBte0000626,nnnnnnnn,Dmel\transib1,Dmel,transib1,terminal_inverted_repeat_element,DNA,Transib
HEL,FBte0000984,nnnnnnnn,Dmel\Helena,Dmel,Helena,non_LTR_retrotransposon,LINE,Jockey
